MInAS Gang,Date,Group,Presenter,Person,Combination,Extension/Package of Term ID,Term ID,Feedback,Comments
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Pablo Librado,MimsHostAssociatedAncient; applied to all,Mims,assembly_name,For fastq files we don’t need the assembly information and the reference genomes - remove the column,
,2025-06-17,Alpine-Mediterranean,Martyna/Meriam,Claudio Ottoni,MimsHostAssociatdAncient,Mims,collection_date,"Not clear what exactly it is refering to (collection from the museum, sampling for bone powder in the lab...)",
,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,MimsHostAssociatedAncient,Mims,collection_date,"This currently requires a time. However, this is a DataHarmonizer issue.",
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Charoula Fotiadou,MimsHumanAssociatedAncient; applied to all,Mims,collection_date,"the collection date in the sampling, it doesn't make sense to be so specific, up to hours and minutes",
,2025-04-03,China,James Fellows Yates,He Yu,MimsHumanAssociatedAncient,Mims,collection_date,"Still unclear where to put which date, which are important? Deposition in museum, date of physical extraction, extraction date",
,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,MimsHostAssociatedAncient,Mims,elev,"This can be obtained from the archaeologists, but if there is no information, using a GPS convertor could be an option. In this case, it would be useful to have a way of indicating if the info is actual or estimated (GPS).",
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Maite Rivollat,MimsHumanAssociatedAncient; applied to all,Mims,elev,The diference between elevation and altitute is not clear,
,2025-04-03,China,James Fellows Yates,Zhengquan Gu,MimsHumanAssociatedAncient,Mims,elev,What is difference with altitude (they work on 'high altitude sites'),
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Maite Rivollat,MimsHumanAssociatedAncient; applied to all,Mims,env_*_scale,The difference between the environment columns is not clear (esp if you have ancient samples then what does this refers to? the env when the person lived? the env when excavated?,
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Charoula Fotiadou,MimsHumanAssociatedAncient; applied to all,Mims,env_*_scale,the general site elevation reported in the excavation - or the  element specific elevation? because they can vary,
